source_keyword,note_id,type,title,desc,time,last_update_time,time_readable,last_update_time_readable,user_id,nickname,liked_count,collected_count,comment_count,share_count,ip_location,tag_list,crawl_date,note_url
短视频沉迷,672f462a000000001d0395ed,video,二次原创去重,#手机剪辑[话题]# #新手学剪辑[话题]# #二次去重剪辑[话题]#,1731151402000,1731151403000,2024-11-09 19:23:22,2024-11-09 19:23:23,6017a803000000000101e3b9,八月荷剪辑,488,784,12,221,广东,"手机剪辑,新手学剪辑,二次去重剪辑",2024-11-25,https://www.xiaohongshu.com/explore/672f462a000000001d0395ed?xsec_token=ABj4E_-Ea6eeg3RV07C8JOEnBPcEbdqEb_sLty2DgMQlY=&xsec_source=pc_search
断网生活,66600ba4000000000e03290c,video,如果，我出生在世界上的其他地方🌍,流浪在路上的每一天，都在重启人生 在冰岛，在阿塞拜疆，在乌兹别克斯坦 在土耳其，在芬兰，在俄罗斯......  #生活[话题]#  #旅行[话题]#  #vlog[话题]#  #人生[话题]#  #女性[话题]#  #成长[话题]# #治愈[话题]#  #励志[话题]#  #重启人生[话题]#   #情感[话题]#   #感悟人生[话题]#   #环游世界[话题]#   #北欧[话题]#  #欧洲[话题]#   #中亚[话题]#   #东亚[话题]#  #红薯旅行家[话题]#   #我的旷野时分[话题]#  #世界慢慢游[话题]#   @VLOG薯,1717585276000,1717586356000,2024-06-05 19:01:16,2024-06-05 19:19:16,58c266b482ec39214e8e191e,小回回的世界攻略,4万,9413,700,1226,,"生活,旅行,vlog,人生,女性,成长,治愈,励志,重启人生,情感,感悟人生,环游世界,北欧,欧洲,中亚,东亚,红薯旅行家,我的旷野时分,世界慢慢游",2024-12-03,https://www.xiaohongshu.com/explore/66600ba4000000000e03290c?xsec_token=ABxkSExYmuabGulLAonchsxLpzRDp9R-C-moLnkNCRVZs=&xsec_source=pc_search
放下手机,65c0722700000000110070bd,normal,让青春期孩子主动放下手机，请给他信任,"一位妈妈跟我说，她女儿上初一，起初他们约定了一个规矩，放学后先做作业，完了可以再玩个手机，晚上9点半必 须爬上 床睡觉。开始时，一切进行得相当顺利。可是后来，她的女儿就开始不遵守这个约定，经常到了10点半还在玩手机。我说了几句她就莫名其妙生气，委屈得很。更糟糕的是，她女儿在写作业的时候还偷偷玩手机。
这位妈妈向我求助，问我应该怎么办，是任由情况发展还是继续严加管束呢？
明明约定好了，孩子为何说话不算话？为什么不遵守约定？还不能说，一说就生气，青春期孩子怎么这么难管？
我帮助过很多青春期沉迷手机的孩子，我发现问题并不在于难以管教孩子，而是父母只停留在简单制定规矩的表面，根本没有真 正理解如何教育孩子。
那么，当我们面对孩子青春期严重沉迷手机的时候，作为父母，我们应该如何应对呢？现在我来和大家分享4个重要的经验吧！
我是从事家庭教育24年的老康！
至于:“厌学的孩子有什么症状”、“厌学抑郁症”、“厌学的原因是什么”；“青春期抑郁症有什么表现”、 “青春期的孩子怎么教育”、“青春期的叛逆与教育”；“孩子休学就废了吗”、“孩子想休学家长怎么办”；“孩子抑郁厌学怎么办”、“孩子叛逆期怎么沟通”……
希望各位家长看完上图的内容，能有所收获~
#不懂就问有问必答[话题]# #孩子叛逆[话题]# #青春期孩子[话题]# #青春期厌学[话题]# #沉迷游戏[话题]# #叛逆期[话题]# #抑郁厌学[话题]# #抑郁症的表现[话题]# #休学[话题]# #复学[话题]#",1707110951000,1707110952000,2024-02-05 13:29:11,2024-02-05 13:29:12,657296c200000000190101c2,康老家庭孩子咨询,141,224,12,111,,"不懂就问有问必答,孩子叛逆,青春期孩子,青春期厌学,沉迷游戏,叛逆期,抑郁厌学,抑郁症的表现,休学,复学",2024-11-22,https://www.xiaohongshu.com/explore/65c0722700000000110070bd?xsec_token=ABARGB6AEhswgQBaLR6ysVJmKTfx3IcqeEO4J4KeGSDFk=&xsec_source=pc_search
放下手机,6329d9e000000000090087d3,video,《十秒钟彻底戒掉手机》,"感谢翰哥🙏
让我专心学习😅#电视剧东八区的先生们[话题]# #科研[话题]# #研究生[话题]# #医学生[话题]# #戒掉手机瘾[话题]##学习[话题]#",1663687136000,1663721980000,2022-09-20 23:18:56,2022-09-21 08:59:40,5b8fbfd23a722200018cf4a4,巴特斯,2.4万,1263,4337,1.2万,,"电视剧东八区的先生们,科研,研究生,医学生,戒掉手机瘾,学习",2024-11-22,https://www.xiaohongshu.com/explore/6329d9e000000000090087d3?xsec_token=ABMmhON5CrP2SIRRjGVMvQ8kdXbmpxng1zP393_7M--Po=&xsec_source=pc_search
手机上瘾,667ee0cc000000001f006d96,normal,买手机上瘾无药可救的病,"[笑哭R]万万没想到30好几会得这种病，无药可救！！
都怪那个年代太穷了，买一部手机要攒好久好久的钱，省吃俭用的存起来，大半年工资就为一部手机，感觉不值又超级无敌想买，也不知道哪根筋搭错了，那时候买到心仪的手机兴奋到睡不着觉，被窝里玩瞎也值啊[doge][doge][doge]
[汗颜R]现在条件好点，产生了报复性消费的心理，无所谓玩不玩，只想买新机，无所谓性能，只想买手机，无所谓用途，只想买上新款旧款经典款旗舰款，艺术品一样的欣赏，把玩 ，按时充电🔋 ，一段时间后再看看电池健康是否还是100 。
[石化R]隔一段时间后又产生了厌恶心理，通通都送走（回收抵扣）越快越好，都消失，再接着继续一波的折腾，买新款买没买过的款，买没买过的颜色，买曾经卖出去的款，永无止境～[失望R][失望R][失望R]
不知道什么时候才能得到救赎～[哭惹R][哭惹R][哭惹R]#沉迷手机[话题]# #手机分享[话题]# #iphone[话题]# #我的手机[话题]# #手机数码科技[话题]#",1719591116000,1719591116000,2024-06-29 00:11:56,2024-06-29 00:11:56,6496a0dc000000000f00713e,极简mini,498,77,458,23,,"沉迷手机,手机分享,iphone,我的手机,手机数码科技",2024-11-17,https://www.xiaohongshu.com/explore/667ee0cc000000001f006d96?xsec_token=ABJ0oczALAc0ysDZwiA_5X_ZhgSLEr5bKoCqFqqL30jBA=&xsec_source=pc_search
屏幕时间,660351b70000000012023d8d,normal,P人如何无痛记录时间（手把手教学,"作为一个大P人，能坚持记录时间将近三个月，属实是因为这个方法真的很无痛！
❗️操作从P3看起:
	
P3、P4:很多人直接从苹果自带的日历里记录时间，但是每次打开和记录的时间稍微有些长，弄一个桌面小组件，每次点进去记录很方便，只有够方便快捷，才能够坚持！
P5、P6:并且这个小组件可以叠放，这样子既不占用空间（比如我这里还放了快递的小组件），还能防止别人窥屏哦
P7:然后点进苹果自带的日历，我这里也是从桌面小组件进入的，大家也可以直接从app点进去，把我们之前记录的转移到日历里面，就可以得到P2的时间轴啦（建议一天结束的时候记录就可以咯）
P1:是我下的一个分析时间占比的APP，它能同步苹果日历的信息，不需要再输入一次时间。我喜欢用这个app看每天、每周、每月在各大类事项上的占比，很清晰直观的能知道我到底有多摆烂（bushi)
#记录时间[话题]# #时间管理[话题]# #桌面小组件[话题]# #日历[话题]# #时间轴[话题]# #纵横四海[话题]# #p人决定给j人一点震撼[话题]# #p人都能做到你指定也能行[话题]##自律女孩[话题]# #女大日常[话题]# #时间统计[话题]#",1711493559000,1711493559000,2024-03-27 06:52:39,2024-03-27 06:52:39,6407298600000000100271c6,捡破烂女王,137,82,8,6,,"记录时间,时间管理,桌面小组件,日历,时间轴,纵横四海,p人决定给j人一点震撼,p人都能做到你指定也能行,自律女孩,女大日常,时间统计",2024-11-25,https://www.xiaohongshu.com/explore/660351b70000000012023d8d?xsec_token=ABCiAa0jvNwmPLah08dtUY4pif-i7Q-M2Y0SW3009JvnM=&xsec_source=pc_search
放下手机,663751ad000000001e01c71b,normal,手机简化｜把工作和生活分开后，我变了！,"趁着假期休息，我重新简化了手机。
当我发现在手机上把工作和生活分开后，生活和工作开始变得更加简单而轻松，不仅减少了很多内耗，更是让我找回了生活和工作本该有的模样。
	
❶  设置“专注模式”
利用手机上的“模式设置”，我把手机设置了“工作专注模式”和“生活专注模式”。工作仅有工作必要App，更容易专注工作，提升效率。 生活模式下，让我回归音乐、阅读、健身，更接近理想生活的模样。
	
❷  列好“每日计划”
无论工作 or 生活下我都喜欢给自己列出todo 清单，提醒自己最重要的事情，合理安排时间。作为J人，每天完成todo事项带来的成就感，真的很开心。
	
❸  小插件让我充分用好“碎片时间”
很喜欢自带的小插件，随手记账和记单词，词汇量不知不觉间也提升了不少。如今随手记账已经三年有余，也慢慢存下了一个小金库。
	
❹  一个执行力“闹钟⏰”
我更喜欢一个闹钟给我的执行力，每天吵醒后缓一下就起床，早起更容易有对一天的掌控感。
	
手机已经成为我们的“器官”，每天我们看手机的时间几乎在6个小时以上，手机不是只有刷视频，也可以成为生产力工具和培养新的生活方式的开始～。
不妨按照自己理想的自己的模样重新设置手机，也许真的能遇见更好状态的自己～
	
#在这周而复始的日子里寻找乐趣[话题]# #玩机攻略[话题]# #晒晒我的桌面[话题]# #手机桌面[话题]# #朝着目标努力[话题]# #桌面小组件[话题]# #桌面整理[话题]# #极简主义[话题]# #极简生活[话题]#",1714901421000,1715092781000,2024-05-05 17:30:21,2024-05-07 22:39:41,54814fc6d6e4a9258517c92d,斛落爱极简,2376,2061,175,148,,"在这周而复始的日子里寻找乐趣,玩机攻略,晒晒我的桌面,手机桌面,朝着目标努力,桌面小组件,桌面整理,极简主义,极简生活",2024-11-21,https://www.xiaohongshu.com/explore/663751ad000000001e01c71b?xsec_token=AB4f263nNAhuxgOHyFnuaTZmLFmdSqEey4GMwlw-CE6qE=&xsec_source=pc_search
断网,663d99f7000000001e0376bb,normal,笔记本WLAN消失的部分解决方案(不能连wifi),"最近刷到太多太多这种笔记了，每次打字打多了我自己也累，干脆截图做成笔记。天气一热，无线网卡这娇弱的玩意就开始闹脾气掉驱动。如果图里办法你不懂操作或者依然解决不了，留言或私信我无偿帮你。#笔记本断网[话题]#
	
注意部分特殊情况需要右键点开始菜单-点设备管理器-点网络适配器-右键点无线网卡型号(一般是有感叹号显示的那个)-点属性，再在新窗口里看报错代码，网络上查阅一下相关案例，重点查知乎、B站、外网
比较常见的是以前安装过虚拟机，卸载后残留的虚拟网卡在作祟起冲突，需要ccleaner清理注册表。",1715313143000,1729056638000,2024-05-10 11:52:23,2024-10-16 13:30:38,61622383000000000202652c,潜渊症,161,118,66,12,,笔记本断网,2024-11-22,https://www.xiaohongshu.com/explore/663d99f7000000001e0376bb?xsec_token=ABMD5NeGsLBusWfafScSNOIv-b7O-Cs9SuVlSL4S2aoxw=&xsec_source=pc_search
断网生活,65056c68000000001f006934,normal,30天挑战之断网24小时,终于鼓起勇气开始了，从9-16日18点钟开始——9-17日18点结束🔚，明天晚上上来更新自己一天的心理状态，希望我可以坚持住，不要作弊。#30天挑战[话题]# #断网[话题]# #断网的一天[话题]#,1694854248000,1694854248000,2023-09-16 16:50:48,2023-09-16 16:50:48,63dc77b4000000002703721f,摆烂,4,0,3,0,,"30天挑战,断网,断网的一天",2024-12-03,https://www.xiaohongshu.com/explore/65056c68000000001f006934?xsec_token=AB1y98GCTMHWFAAXnTFu5N7L5CPLvnS88cSmMsSe_5vnA=&xsec_source=pc_search
手机依赖,67039986000000002a031275,normal,我老爸已经跟我说不仅苹果手机不能用，全国的其他手机也都不能用，因为全中国只有华为的手机是自己的芯片，小米、Oppo等等都是美国芯片…,我老爸已经跟我说不仅苹果手机不能用，全国的其他手机也都不能用，因为全中国只有华为的手机是自己的芯片，小米、Oppo等等都是美国芯片…,1728289158000,1728289159000,2024-10-07 16:19:18,2024-10-07 16:19:19,56cd24eb1c07df585b1a4758,S家的海明威先生,10,3,21,0,,,2024-12-10,https://www.xiaohongshu.com/explore/67039986000000002a031275?xsec_token=ABfUt1_qBxPfT2laTEF2Cg6XjXJRI4ryMOGgUcmQT-A9g=&xsec_source=pc_search
手机管理,668549c6000000001e013cd0,normal,强迫症患者的手机桌面,"我是典型的处女座，什么东西都要摆得规规整整的，手机桌面的所有app都是分类管理，而且只有一个主桌面。
	
你的手机桌面是什么样的呢？也晒晒吧！[哇R]#手机桌面[话题]# #桌面整理[话题]# #桌面小组件[话题]# #处女座[话题]# #强迫症[话题]# #强迫症的自我修养[话题]#",1720011206000,1720049686000,2024-07-03 20:53:26,2024-07-04 07:34:46,63786bf00000000024009ce8,CFP俊奇先生,81,24,119,1,,"手机桌面,桌面整理,桌面小组件,处女座,强迫症,强迫症的自我修养",2024-11-25,https://www.xiaohongshu.com/explore/668549c6000000001e013cd0?xsec_token=ABFB9ECquil9RHRZPgiPUHUUVs57-B0zsDTWuw-zYgHhQ=&xsec_source=pc_search
手机管理,6402ade90000000012031269,normal,学习型手机！8个效率神器学生党打工人必备！,"你该不会还在单纯地玩手机吧❓
其实你身边的人都在用它偷偷提升自己❗️
榨干你的手机！用一部手机高效学习➕生活➕工作[鼓掌R] 这几个效率神器一定要知道～
👇🏻👇🏻👇🏻
	
🌷自动写论文
🌷自动管理照片，给手机增加♾️存储空间
🌷高质量英语听力资源
🌷多科目背书➕全科目学习资料
	
🌷导入文字自动生成视频
🌷一键管理自己的所有物品
🌷自动追踪管理时间
🌷高效制作手机长截图
.
普通人只想着如何用手机放松自己🤳
有才能的人才想方设法利用手机提升自己💪
别让你的人生被手机娱乐过去❗️
把它当成你前进的工具，成长的帮手
自律学习、高效工作、整理生活……
✨✨✨
#实用APP安利[话题]# #数码达人成长计划[话题]# #自我提升[话题]# #APP[话题]# #英语学习[话题]# #宝藏APP[话题]# #效率神器[话题]# #一刻相册[话题]# #英语听力[话题]# #App分享[话题]# #学生党[话题]# #我是女生[话题]# #工作使我快乐[话题]#",1677897193000,1678070900000,2023-03-04 10:33:13,2023-03-06 10:48:20,5d2076ce0000000012035fb0,熬夜女王不熬夜,2971,2535,32,88,,"实用APP安利,数码达人成长计划,自我提升,APP,英语学习,宝藏APP,效率神器,一刻相册,英语听力,App分享,学生党,我是女生,工作使我快乐",2024-11-25,https://www.xiaohongshu.com/explore/6402ade90000000012031269?xsec_token=ABuKhLJtH5LsOCXHtO3WXWIVUkkkGkKBLyitAkj-cxWWA=&xsec_source=pc_search
屏幕时间,641005dd0000000027002141,normal,屏幕时间周视图按照你的习惯决定,"如图，在《设置》搜索语言，即可找到《语言与地区》。
《每周第一天》由自己来选择，得到想要的数据，可以更好地复盘这周屏幕使用时间。
	
#ios[话题]# #手帐[话题]# #复盘[话题]# #屏幕使用时间[话题]#",1678771677000,1678771987000,2023-03-14 13:27:57,2023-03-14 13:33:07,5c925775000000001102edc4,街富蕊,13,3,9,1,,"ios,手帐,复盘,屏幕使用时间",2024-11-25,https://www.xiaohongshu.com/explore/641005dd0000000027002141?xsec_token=ABwCBKv7X_4dASCczEOg66n69Y9j6mZBG6rYS-yHz_QcE=&xsec_source=pc_search
